trial_num,image_id,library,urge,val,aros,onset_time,rt_urge,rt_val,rt_arousal
258,35.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
259,N017.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
260,187.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
261,SDC11505.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
262,71.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
263,57.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
264,128.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
265,20.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
266,87.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
267,81.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
268,00309.png,WFAIS_alcohol_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
269,88.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
270,45.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
271,152.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
272,SDC11503.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
273,126.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
274,194.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
